Highest Offense Description,Highest Offense Code,Zip Code,frequency
AGG ROBBERY/DEADLY WEAPON,300,78736,9
PIGEON DROP,1198,78702,9
DEL OF ALCOHOL TO MINOR,2206,78753,9
INTERFERING W/EMERG PHONE CALL,2712,78724,9
CRIMINAL MISCHIEF-NO SUSPECT,1400,78747,9
POSS OF ALCOHOL - AGE 17 TO 20,2209,78722,9
DOC DISPLAY GUN/DEADLY PUB PLC,2409,78735,9
WEAPON VIOL - OTHER,1504,78721,9
FRAUD - OTHER,1199,78652,9
EXP-VIOL CITY ORDINANCE - TAXI,3209,78701,9
UNLAWFUL RESTRAINT,2805,78724,9
UNLAWFUL CARRY-LIC HOLDER,1507,78753,9
LITTERING,3216,78747,9
IMPERSONATING PUBLIC SERVANT,2905,78727,9
AGG ROBBERY BY ASSAULT,302,78757,9
IMPERSONATING PUBLIC SERVANT,2905,78757,9
THEFT BY FALSE PRETEXT/BUNCO,1102,78702,9
TAMPERING WITH GOV RECORD,2904,78751,9
MISAPPLY FIDUCIARY PROP,1201,78731,9
TAMPERING WITH GOV RECORD,2904,78754,9
DOC ABUSIVE LANGUAGE,2401,78729,9
STALKING,2710,78719,9
VIOL OF PARK CURFEW,3217,78752,9
CRUELTY TO ANIMALS,2717,78613,9
VIOL OF COURT ORDER-NON EPO-PO,2008,78742,9
DOC OFFENSIVE GESTURE,2402,78749,9
DEADLY CONDUCT FAM/DATE VIOL,408,78702,9
THEFT BY PUBLIC SERVANT,1202,78704,9
WEAPON VIOL - OTHER,1504,78703,9
TAKE WEAPON FRM POLICE OFFICER,409,78702,9
UNLAWFUL RESTRAINT FAM/DAT VIO,2805,78752,9
POSSESSION OF MARIJUANA,1803,78730,9
INJURY TO ELDERLY PERSON,2012,78703,9
VOCO - ALCOHOL  CONSUMPTION,3211,78750,9
ATT AUTO THEFT,701,78705,9
TRUANCY,3300,78757,9
URINATING IN PUBLIC PLACE,3212,78735,9
FRAUD - OTHER,1199,78653,9
THEFT OF LICENSE PLATE,614,78742,9
IMPERSONATING PUBLIC SERVANT,2905,78705,9
IDENTITY THEFT-TAX RETURNS,4027,78731,9
HINDER SECURED CREDITORS,2907,78756,9
FALSE ALARM OR REPORT,2700,78722,9
EVADING VEHICLE,2724,78735,9
VIOL CITY ORDINANCE - WRECKER,3720,78726,9
VIOL CITY ORDINANCE - DOG,3200,78730,9
CRIMINAL TRESPASS,2716,78728,9
POSS OF FIREARM BY FELON,1502,78747,9
MAKING TOBACCO AVAIL TO MINOR,2606,78705,9
IMPERSONATING PUBLIC SERVANT,2905,78703,9
DOC DISCHARGE GUN - PUB PLACE,2408,78727,9
POSS OF FIREARM BY FELON,1502,78750,9
VIOL WATER SAFETY ACT,3724,78732,9
FORGERY BY MAKING,1003,78747,9
CRIMINAL MISCHIEF BY ARSON,802,78721,9
EVADING VEHICLE,2724,78756,9
DEL OF ALCOHOL TO MINOR,2206,78704,9
AGG ASLT W/MOTOR VEH FAM/DAT V,406,78617,9
GAMBLING PROMOTION,1901,78754,9
IMPERSONATING PUBLIC SERVANT,2905,78754,9
GAMBLING,1900,78727,9
PIGEON DROP,1198,78704,9
DATING DISTURBANCE,2400,78742,9
PROTECTIVE ORDER,3829,78725,9
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78617,9
PROTECTIVE ORDER,3829,78730,9
VIOL GLASS CONTAINER,3210,78730,9
POSS DANG DRUG,1810,78703,9
CRASH/INTOXICATION ASSAULT,2105,78751,9
PROMOTION OF PROSTITUTION,1601,78759,9
TAKE WEAPON FRM POLICE OFFICER,409,78758,9
ABUSE OF 911,2735,78748,9
DEBIT CARD ABUSE,1108,78652,9
POSS OF PROHIBITED WEAPON,1503,78724,9
THEFT OF HEAVY EQUIPMENT,612,78749,9
FORGERY- CERTIFICATE OF TITLE,1008,78758,9
BURG OF RES - FAM/DATING ASLT,500,78722,9
FORGERY OF IDENTIFICATION,1004,78754,9
UNLAWFUL RESTRAINT,2805,78748,9
AGG ASSAULT ON PUBLIC SERVANT,403,78704,9
FALSE ALARM OR REPORT,2700,78726,9
AGG PROMOTION OF PROSTITUTION,1602,78754,9
COUNTERFEITING,1006,78717,9
VIOL CITY ORDINANCE - DOG,3200,78717,9
DUI - AGE 16 AND UNDER,2106,78745,9
FALSE REPORT TO PEACE OFFICER,2902,78750,9
DWI - CHILD PASSENGER,2108,78617,9
INJURY TO CHILD,2011,78703,9
INJURY TO CHILD,2011,78746,9
FALSE ALARM OR REPORT,2700,78717,9
VIOL CITY ORDINANCE -  GAME RM,3294,78741,9
GRAFFITI,1402,78660,9
INJURY TO CHILD,2011,78660,9
CRIMINAL MISCHIEF BY ARSON,802,78750,9
AGG ASSAULT,402,78719,9
VIOL OF PROTECTIVE ORDER,3009,78730,9
EXPIRED-INJURY CHILD - ELDERLY,2000,78702,9
DOC FIGHTING,2406,78717,9
INJURY TO CHILD,2011,78739,9
FORGERY AND PASSING,1000,78719,9
GAMBLING PROMOTION,1901,78741,9
MURDER,100,78757,9
FALSE STATEMENT -OBTAIN CREDIT,1105,78613,9
RECKLESS DAMAGE,1401,78721,9
POSS CONTROLLED SUB/SYN NARC,1801,78749,9
SOLICITATION - BEGGING,2501,78727,9
DOC DISPLAY GUN/DEADLY PUB PLC,2409,78754,9
DOC FIGHTING,2406,78746,9
BANK KITING,1104,78757,9
ENGAGING IN ORGANIZED CRIME,3000,78753,9
DWI - DRUG RECOGNITION EXPERT,2103,78756,9
TRADEMARK COUNTERFEITING,1111,78758,9
IMPERSONATING PUBLIC SERVANT,2905,78751,9
CRIMINAL SOLICITATION,3002,78701,9
DOC ABUSIVE LANGUAGE,2401,78746,9
POSS CONTROLLED SUB/NARCOTIC,1800,78712,9
FORGERY - OTHER,1099,78736,9
DOC EXPOSURE,2411,78722,9
AGG ASSAULT ON PUBLIC SERVANT,403,78748,9
ATT THEFT,611,78751,9
HARBORING RUNAWAY CHILD,2005,78758,9
THEFT-NO SUSPECT/FOLLOWUP,600,78752,9
CIVIL DISTURBANCE/DEMO,3402,78726,9
MISAPPLY FIDUCIARY PROP,1201,78745,9
VIOL OF PROTECTIVE ORDER,3009,78742,9
VIOL CITY ORDINANCE - WRECKER,3720,78728,9
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78735,9
ATT AUTO THEFT,701,78727,9
BOMB THREAT,2701,78754,9
BURGLARY OF VEHICLE,601,78681,9
DRIVING WHILE INTOX / FELONY,2109,78613,9
ATT THEFT,611,78744,9
VIOL OF COURT ORDER-NON EPO-PO,2008,78705,9
POSS SYNTHETIC MARIJUANA,1825,78721,9
IMMIGRATION HOLD/ARREST,4200,78724,9
TAMPERING WITH EVIDENCE,2903,78724,9
FALSE ALARM OR REPORT,2700,78729,9
UNLAWFUL CARRY-LIC HOLDER,1507,78759,9
CRIMINAL SOLICITATION OF MINOR,3003,78741,9
ATT BURGLARY OF RESIDENCE,501,78731,9
FALSE ALARM OR REPORT,2700,78735,9
THEFT FROM BUILDING,617,78728,9
EVADING / FOOT,2723,78735,9
ARSON,800,78729,9
FEDERAL VIOL/OTHER,4205,78747,9
THEFT OF TRAILER,613,78736,9
TERRORISTIC THREAT-FAM/DAT VIO,2704,78739,9
THEFT BY FALSE PRETEXT/BUNCO,1102,78748,9
DOC DISCHARGE GUN - PUB PLACE,2408,78735,9
CRIMINAL SOLICITATION OF MINOR,3003,78724,9
CRIMINAL TRESPASS/HOTEL,2722,78748,9
DOC DISCHARGE GUN - PUB ROAD,2410,78754,9
POSS CONTROLLED SUB/NARCOTIC,1800,78652,9
EXPIRED-INJURY CHILD - ELDERLY,2000,78723,9
THEFT OF TELECOMMUNICATION SRV,615,78753,9
MANSLAUGHTER,102,78701,9
VIOL TEMP EX PARTE  ORDER,3007,78748,9
PROBATION VIOL,3114,78751,9
INDECENCY WITH A CHILD/CONTACT,1709,78742,9
FORCED SODOMY,1716,78756,9
INVASIVE VISUAL RECORDING,2609,78752,9
RAPE OF A CHILD,204,78705,9
FORCED SODOMY,1716,78729,9
AGG ASSAULT,402,78728,9
RAPE OF A CHILD,204,78731,9
FORCED SODOMY,1716,78759,9
AGG SEXUAL ASSAULT CHILD/OBJEC,1712,78739,9
DEPENDENT AND NEGLECTED CHILD,2006,78758,9
CONT SEX ABUSE OF CHILD,2014,78617,9
FORCED SODOMY,1716,78731,9
RAPE,200,78742,9
UNLAWFUL RESTRAINT,2805,78705,9
FAILURE TO REG AS SEX OFFENDER,1799,78722,9
THEFT BY SHOPLIFTING,607,78664,9
DISCLOSE/PROMO INTIMATE VISUAL,2610,78750,9
EXPIRED-ATT SEXUAL ASSAULT,1702,78741,9
AGG FORCED SODOMY OF CHILD,1722,78704,9
DEPENDENT AND NEGLECTED CHILD,2006,78721,9
HARASSMENT ONLINE,2732,78735,9
POSS/PROMO CHILD PORNOGRAPHY,2605,78722,9
FAILURE TO REG AS SEX OFFENDER,1799,78749,9
ENTICING A CHILD,2002,78758,9
SERIOUS INJURY TO A CHILD,405,78753,9
ASSAULT  CONTACT-SEXUAL NATURE,902,78660,9
PAROLE VIOL,3113,78759,9
AGG ASLT ENHANC STRANGL/SUFFOC,411,78705,9
AGG KIDNAPPING,2801,78702,9
INDECENT ASSAULT,1724,78749,9
DEADLY CONDUCT FAM/DATE VIOL,408,78741,9
AGG ASLT W/MOTOR VEH FAM/DAT V,406,78727,9
CRIMINAL MISCHIEF-NO SUSPECT,1400,78727,9
ABUSE OF 911,2735,78752,9
ABUSE OF 911,2735,78753,9
ASSAULT ON PUBLIC SERVANT,903,78719,9
AGG ASSAULT WITH MOTOR VEH,406,78756,9
AGG SEXUAL ASSAULT W OBJECT,1701,78745,8
INDECENCY WITH CHILD/EXPOSURE,1710,78751,8
AGG FORCED SODOMY OF CHILD,1722,78754,8
INDECENCY WITH CHILD/EXPOSURE,1710,78729,8
AGG FORCED SODOMY,1718,78741,8
INVASIVE VISUAL RECORDING,2609,78754,8
INVASIVE VISUAL RECORDING,2609,78717,8
INDECENCY WITH CHILD/EXPOSURE,1710,78724,8
AGG RAPE OF A CHILD,206,78747,8
RAPE,200,78730,8
DEPENDENT AND NEGLECTED CHILD,2006,78704,8
FAILURE TO REG AS SEX OFFENDER,1799,78754,8
SERIOUS INJURY TO A CHILD,405,78741,8
AGG FORCED SODOMY,1718,78753,8
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78717,8
ASSAULT ON PUBLIC SERVANT,903,78754,8
BURG OF RES - SEXUAL NATURE,500,78723,8
STATUTORY RAPE OF CHILD,208,78727,8
FORCED SODOMY,1716,78750,8
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78725,8
AGG RAPE,202,78721,8
AGG FORCED SODOMY OF CHILD,1722,78723,8
BURG OF RES - FAM/DATING ASLT,500,78705,8
SERIOUS INJURY TO A CHILD,405,78745,8
IMPERSONATING PUBLIC SERVANT,2905,78729,8
STATUTORY RAPE OF CHILD,208,78759,8
DEPENDENT AND NEGLECTED CHILD,2006,78724,8
ASSAULT  CONTACT-SEXUAL NATURE,902,78724,8
EXPIRED-ATT SEXUAL ASSAULT,1702,78753,8
FALSE REPORT TO PEACE OFFICER,2902,78617,8
DEL OF ALCOHOL TO MINOR,2206,78702,8
FORCED SODOMY,1716,78754,8
ASSAULT  CONTACT-SEXUAL NATURE,902,78613,8
ONLINE SOLICITATION OF A MINOR,2612,78739,8
AGG ROBBERY BY ASSAULT,302,78729,8
HARASSMENT,2703,78681,8
TRAFFICKING OF PERSONS,4199,78724,8
ASSAULT  CONTACT-SEXUAL NATURE,902,78719,8
DOC OFFENSIVE GESTURE,2402,78722,8
CRIMINAL TRESPASS/IN VEHICLE,2727,78752,8
DOC DISCHARGE GUN - PUB ROAD,2410,78617,8
DOC OFFENSIVE GESTURE,2402,78721,8
POSS/PROMO CHILD PORNOGRAPHY,2605,78617,8
ONLINE SOLICITATION OF A MINOR,2612,78748,8
BREACH OF COMPUTER SECURITY,1109,78730,8
AGG ASLT ENHANC STRANGL/SUFFOC,411,78735,8
AGG ASLT STRANGLE/SUFFOCATE,410,78653,8
UNLAWFUL RESTRAINT FAM/DAT VIO,2805,78617,8
INJ TO DISABLED  FAM/DATE VIOL,2013,78724,8
EVADING / VEHICLE PURSUIT,2728,78705,8
EVADING VEHICLE,2724,78719,8
POSS/PROMO CHILD PORNOGRAPHY,2605,78751,8
ABUSE OF 911,2735,78701,8
ASSAULT OF PREGNANT WM-FAM/DAT,911,78721,8
THEFT-NO SUSPECT/FOLLOWUP,600,78724,8
ONLINE SOLICITATION OF A MINOR,2612,78754,8
THEFT BY EXTORTION,2718,78701,8
DWI 2ND,2102,78730,8
POSS SYNTHETIC MARIJUANA,1825,78704,8
CRUELTY TO ANIMALS,2717,78653,8
BURG OF RES - FAM/DATING ASLT,500,78754,8
VIOL OF EMERG PROTECTIVE ORDER,3008,78736,8
INJ TO ELDERLY   FAM/DATE VIOL,2012,78751,8
AGG ASSAULT ON PUBLIC SERVANT,403,78721,8
DOC DISPLAY GUN/DEADLY PUB PLC,2409,78717,8
ONLINE SOLICITATION OF A MINOR,2612,78729,8
DOC FIGHTING,2406,78719,8
EVADING VEHICLE,2724,78660,8
FORGERY AND PASSING,1000,78664,8
IDENTITY THEFT,4022,78652,8
PROWLER,3414,78756,8
DUMPING REFUSE NEAR HIGHWAY,3306,78747,8
CRIMINAL MISCHIEF BY ARSON,802,78703,8
FALSE STATEMENT -OBTAIN CREDIT,1105,78703,8
DOC ABUSE OR THREAT,2404,78748,8
SOLICITATION - BEGGING,2501,78703,8
DEL CONTROLLED SUB/OTHER,1806,78745,8
DOC OFFENSIVE GESTURE,2402,78727,8
EVADING VEHICLE,2724,78746,8
VIOL CITY ORDINANCE - DOG,3200,78726,8
CRIMINAL MISCHIEF-NO SUSPECT,1400,78726,8
DUMPING REFUSE NEAR HIGHWAY,3306,78742,8
ATT BURGLARY NON RESIDENCE,503,78723,8
MISAPPLY FIDUCIARY PROP,1201,78758,8
PROMOTION OF PROSTITUTION,1601,78701,8
INDECENT ASSAULT,1724,78756,8
CONTROLLED SUB VIOL - OTHER,1814,78745,8
ATT BURGLARY OF RESIDENCE,501,78703,8
EXPIRED-EVADING ARREST,2708,78721,8
HARASSMENT ONLINE,2732,78702,8
DISTRIB HARMFUL MATERIAL MINOR,2602,78744,8
FORGERY BY ALTERATION,1001,78756,8
MANF CONTROLLED SUB - OTHER,1820,78753,8
MAIL THEFT,8503,78613,8
INTER EMERG PHONECALL FAM/DATE,2712,78617,8
ASSAULT W/INJURY-FAM/DATE VIOL,900,78734,8
CUSTODY ARREST TRAFFIC WARR,3722,78610,8
SEXTING/TRANSMIT SEXUAL PHOTOS,2613,78741,8
PURSE SNATCHING,606,78745,8
DATING DISTURBANCE,2400,78712,8
HARASSMENT OF A PUBLIC SERVANT,2731,78703,8
VOCO SOLICITATION PROHIBIT,3296,78728,8
AGG ASLT W/MOTOR VEH FAM/DAT V,406,78722,8
GAMBLING PROMOTION,1901,78744,8
EVADING VEHICLE,2724,78725,8
HARBORING RUNAWAY CHILD,2005,78748,8
DAMAGE CITY PROP,3817,78712,8
AGG ASSAULT ON PUBLIC SERVANT,403,78751,8
UCW LICENSE PREMISE,1501,78745,8
VIOL OF BOND CONDITIONS,3006,78751,8
PROBATION VIOL,3114,78752,8
DOC ABUSIVE LANGUAGE,2401,78722,8
DWI 2ND,2102,78732,8
PROWLER,3414,78747,8
UNLAWFUL CARRYING WEAPON,1500,78728,8
ATT BURGLARY NON RESIDENCE,503,78744,8
CRED CARD ABUSE - EXPIR-CANCEL,1103,78704,8
THEFT BY EMBEZZLEMENT,1200,78729,8
THEFT BY EMBEZZLEMENT,1200,78735,8
MANF CONTROLLED SUB - OTHER,1820,78741,8
DOC DISCHARGE GUN - PUB PLACE,2408,78747,8
TRAFFICKING OF PERSONS,4199,78751,8
THEFT BY FALSE PRETEXT/BUNCO,1102,78705,8
IDENTITY THEFT-TAX RETURNS,4027,78754,8
RECKLESS DAMAGE,1401,78613,8
CONTROLLED SUB VIOL - OTHER,1814,78741,8
THEFT BY EMBEZZLEMENT,1200,78750,8
PIGEON DROP,1198,78723,8
PUBLIC LEWDNESS,1705,78703,8
THEFT BY EXTORTION,2718,78705,8
AGG ASLT ENHANC STRANGL/SUFFOC,411,78749,8
POSS OF ALCOHOL - AGE 17 TO 20,2209,78736,8
BOMB THREAT,2701,78702,8
RECKLESS CONDUCT,904,78753,8
LIQUOR LAW VIOLATION/OTHER,2208,78726,8
VIOL CITY ORDINANCE -  GAME RM,3294,78744,8
INJ/CHILD FV (NO CARE/CUSTODY),2011,78724,8
POSS DANG DRUG,1810,78617,8
THEFT FROM AUTO,603,78725,8
ONLINE SOLICITATION OF A MINOR,2612,78757,8
POSS SYNTHETIC MARIJUANA,1825,78724,8
RESISTING ARREST OR SEARCH,905,78727,8
DEL OF ALCOHOL TO MINOR,2206,78723,8
VOCO - ALCOHOL  CONSUMPTION,3211,78756,8
POSS CONTROLLED SUB/SYN NARC,1801,78719,8
VIOL CITY ORDINANCE - DOG,3200,78736,8
LITTERING,3216,78617,8
SOLICITATION - BEGGING,2501,78735,8
SMUGGLING ILLEGAL ALIEN,4204,78702,8
ESCAPE FROM CUSTODY,2711,78723,8
FRAUD-CARD SKIMMER,1112,78741,8
PROMOTION OF PROSTITUTION,1601,78751,8
DEADLY CONDUCT FAM/DATE VIOL,408,78723,8
THEFT OF HEAVY EQUIPMENT,612,78747,8
DWI,2100,78610,8
PIGEON DROP,1198,78757,8
INJURY TO ELDERLY PERSON,2012,78729,8
AGG ASSAULT FAM/DATE VIOLENCE,402,78613,8
FRAUD-CARD SKIMMER,1112,78722,8
MISAPPLY FIDUCIARY PROP,1201,78701,8
DUI - AGE 16 AND UNDER,2106,78701,8
EXPIRED-ATT OBT CONT SUB FRAUD,1809,78745,8
VIOL CITY ORDINANCE -FIREWORK,3201,78752,8
BOATING WHILE INTOXICATED,2110,78731,8
CRED CARD ABUSE - EXPIR-CANCEL,1103,78753,8
PROWLER,3414,78750,8
DAMAGE CITY VEHICLE,3832,78660,8
DWI 2ND,2102,78739,8
DANG DRUG VIOL - OTHER,1815,78744,8
DOC DISCHARGE GUN - PUB ROAD,2410,78704,8
EVADING / FOOT,2723,78703,8
CRASH/INTOXICATION ASSAULT,2105,78724,8
THEFT- APPROPRIATE STOLEN PROP,1300,78757,8
CAPITAL MURDER,101,78741,8
AGG ASSAULT BY PUBLIC SERVANT,403,78701,8
ATT BURGLARY NON RESIDENCE,503,78753,8
INJURY TO CHILD,2011,78613,8
HARASSMENT OF A PUBLIC SERVANT,2731,78721,8
CRASH/INTOX MANSLAUGHTER,108,78723,8
FORGERY BY MAKING,1003,78736,8
THEFT CATALYTIC CONVERTER,620,78742,8
GAMBLING PROMOTION,1901,78757,8
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78703,8
INJ/CHILD FV (NO CARE/CUSTODY),2011,78702,8
INJ TO ELDERLY   FAM/DATE VIOL,2012,78617,8
CRASH/FAIL STOP AND RENDER AID,3604,78653,8
GRAFFITI,1402,78719,8
DUI - AGE 17 TO 20,2107,78726,8
DOC ABUSE OR THREAT,2404,78705,8
POSS OF ALCOHOL - AGE 17 TO 20,2209,78730,8
CRIMINAL TRESPASS/HOTEL,2722,78735,8
VIOL CITY ORDINANCE -FIREWORK,3201,78723,8
TRAFFICKING OF PERSONS,4199,78702,8
TRUANCY,3300,78753,8
POSS CRIMINAL INSTRUMENT,2720,78741,8
EXPIRED-INJURY CHILD - ELDERLY,2000,78724,8
HARASSMENT ONLINE,2732,78701,8
BOMB THREAT,2701,78729,8
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78750,8
DISTRIB HARMFUL MATERIAL MINOR,2602,78704,8
MURDER,100,78751,8
VIOL CITY ORDINANCE -FIREWORK,3201,78701,8
ASSAULT ON PEACE OFFICER,903,78752,8
PROWLER,3414,78701,8
CHILD ENDANGERMENT- ABANDONMEN,2010,78719,8
DWI - CHILD PASSENGER,2108,78756,8
IDENTITY THEFT-TAX RETURNS,4027,78705,8
POSS OF DRUG PARAPHERNALIA,1818,78728,8
DWI - CHILD PASSENGER,2108,78660,8
MAKING TOBACCO AVAIL TO MINOR,2606,78749,8
PROSTITUTION,1600,78724,8
AGG ASLT STRANGLE/SUFFOCATE,410,78742,8
BURGLARY NON RESIDENCE,502,78733,8
DEL MARIJUANA,1807,78744,8
EVADING VEHICLE,2724,78717,8
THEFT OF AUTO PARTS,604,78725,8
INTER EMERG PHONECALL FAM/DATE,2712,78751,8
VIOL CITY ORDINANCE - OTHER,3299,78725,8
AGG ASLT ENHANC STRANGL/SUFFOC,411,78750,8
CHILD CUSTODY INTERFERE,2001,78653,8
TAMPERING WITH GOV RECORD,2904,78721,8
ROBBERY BY ASSAULT,303,78742,8
IDENTITY THEFT-TAX RETURNS,4027,78702,8
OFFICIAL OPPRESSION,3107,78741,8
BURG OF RES - FAM/DATING ASLT,500,78756,8
CRUELTY TO ANIMALS,2717,78739,8
THEFT BY EMBEZZLEMENT,1200,78741,8
HINDER SECURED CREDITORS,2907,78722,8
THEFT FROM BUILDING,617,78712,8
EXPLOSIVE ORDNANCE DISPOSAL,1505,78729,8
ARSON,800,78703,8
BOMB THREAT,2701,78727,8
CRIMINAL TRESPASS/TRANSIENT,2721,78747,8
UNLAWFUL CARRY-LIC HOLDER,1507,78703,8
OBTAIN CONTROLLED SUB BY FRAUD,1808,78746,8
DWI 2ND,2102,78712,8
HARASSMENT ONLINE,2732,78746,8
VIOL OF BOND CONDITIONS,3006,78752,8
UCW LICENSE PREMISE,1501,78758,8
TRUANCY,3300,78741,8
DWI - CHILD PASSENGER,2108,78754,8
DEL CONTROLLED SUB/SYN NARC,1805,78754,8
ATT THEFT,611,78757,8
AGG ROBBERY BY ASSAULT,302,78705,8
AGG KIDNAPPING,2801,78744,8
TRADEMARK COUNTERFEITING,1111,78702,8
DAMAGE CITY VEHICLE,3832,78749,8
VIOL CITY ORDINANCE - WRECKER,3720,78660,8
VOCO SOLICITATION PROHIBIT,3296,78724,8
DWI - CHILD PASSENGER,2108,78735,8
DOC FIGHTING,2406,78613,8
DISPOSAL OF SOLID WASTE,3312,78745,8
INTER EMERG PHONECALL FAM/DATE,2712,78747,8
RENTAL CAR/FAIL TO RETURN,621,78759,8
BOMB THREAT,2701,78752,8
MAKING TOBACCO AVAIL TO MINOR,2606,78729,8
HINDER SECURED CREDITORS,2907,78759,8
PUBLIC LEWDNESS,1705,78748,8
TAMPERING WITH GOV RECORD,2904,78705,8
PROWLER,3414,78724,8
CRIMINAL TRESPASS/IN VEHICLE,2727,78759,8
FORGERY OF IDENTIFICATION,1004,78705,8
ASSAULT BY CONTACT,902,78653,8
EVADING / FOOT,2723,78725,8
FAILURE TO IDENTIFY,2707,78742,8
CRIMINAL SOLICITATION OF MINOR,3003,78752,8
DOC EXPOSURE,2411,78726,8
HARBORING RUNAWAY CHILD,2005,78757,8
INJ TO ELDERLY   FAM/DATE VIOL,2012,78747,8
THEFT-NO SUSPECT/FOLLOWUP,600,78705,8
VIOL CITY ORDINANCE -  GAME RM,3294,78745,8
POSS CONTROLLED SUB/OTHER,1802,78717,8
POSS DANG DRUG,1810,78756,8
SMUGGLING ILLEGAL ALIEN,4204,78744,8
CRED CARD ABUSE BY FORGERY,1005,78719,8
EVADING / VEHICLE PURSUIT,2728,78750,8
FORGERY BY MAKING,1003,78613,8
POSS OF ALCOHOL - AGE 17 TO 20,2209,78747,8
DOC EXPOSURE,2411,78717,8
RETALIATION,3104,78722,8
FORGERY BY MAKING,1003,78739,8
FAMILY DISTURBANCE/PARENTAL,3458,78653,8
ABUSE OF 911,2735,78759,7
PROTECTIVE ORDER,3829,78742,7
DOC EXPOSURE,2411,78719,7
PAROLE VIOL,3113,78705,7
AGG ROBBERY/DEADLY WEAPON,300,78725,7
ASSAULT BY THREAT FAM/DATING,901,78725,7
INDECENT ASSAULT,1724,78754,7
THEFT OF LICENSE PLATE,614,78728,7
UCW LICENSE PREMISE,1501,78702,7
POSS CONTROLLED SUB/NARCOTIC,1800,78681,7
CRIMINAL MISCHIEF-NO SUSPECT,1400,78703,7
DAMAGE CITY VEHICLE,3832,78729,7
POSS/PROMO CHILD PORNOGRAPHY,2605,78735,7
MURDER,100,78748,7
DOC EXPOSURE,2411,78754,7
ATT THEFT,611,78705,7
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78749,7
INTERFERING W/EMERG PHONE CALL,2712,78757,7
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78742,7
APPLIC TO REVOKE PROBATION,4003,78756,7
INJURY TO CHILD (CARE/CUSTODY),2011,78725,7
APPLIC TO REVOKE PROBATION,4003,78731,7
CRASH/INTOXICATION ASSAULT,2105,78731,7
AGG PROMOTION OF PROSTITUTION,1602,78759,7
THEFT OF HEAVY EQUIPMENT,612,78704,7
ESCAPE FROM CUSTODY,2711,78754,7
ASSAULT OF PREGNANT WM-FAM/DAT,911,78754,7
FALSE REPORT TO PEACE OFFICER,2902,78735,7
EVADING / VEHICLE PURSUIT,2728,78746,7
FORGERY AND PASSING,1000,78712,7
POSS OF FIREARM BY FELON,1502,78703,7
DOC OFFENSIVE GESTURE,2402,78729,7
TAKE WEAPON FRM POLICE OFFICER,409,78723,7
PURCHASING PROSTITUTION,1604,78754,7
PURSE SNATCHING,606,78757,7
WEAPON VIOL - OTHER,1504,78705,7
ARSON,800,78725,7
EVADING VEHICLE,2724,78729,7
POSS CONTROLLED SUB/OTHER,1802,78660,7
MAKING TOBACCO AVAIL TO MINOR,2606,78753,7
IDENTITY THEFT-TAX RETURNS,4027,78744,7
FORGERY- CERTIFICATE OF TITLE,1008,78741,7
VIOL OF CAMPING ORDINANCE,3223,78759,7
FEDERAL VIOL/OTHER,4205,78705,7
FALSE ALARM OR REPORT,2700,78617,7
PROTECTIVE ORDER,3829,78734,7
APPLIC TO REVOKE PROBATION,4003,78735,7
UNLAWFUL RESTRAINT FAM/DAT VIO,2805,78726,7
TAMPERING WITH GOV RECORD,2904,78748,7
INTERFERENCE PUBLIC DUTIES,3397,78721,7
VOCO - ALCOHOL  CONSUMPTION,3211,78681,7
TAKE WEAPON FRM POLICE OFFICER,409,78745,7
CRIMINAL SOLICITATION OF MINOR,3003,78704,7
VIOL CITY ORDINANCE - SMOKING,3297,78731,7
VIOL CITY ORDINANCE -FIREWORK,3201,78724,7
ATT THEFT,611,78613,7
CAMPING IN PARK,3214,78660,7
PIGEON DROP,1198,78751,7
THEFT OF TELECOMMUNICATION SRV,615,78744,7
POSS OF PROHIBITED WEAPON,1503,78750,7
AGG ROBBERY BY ASSAULT,302,78721,7
VOCO - ALCOHOL  CONSUMPTION,3211,78724,7
VIOL CITY ORDINANCE - SMOKING,3297,78719,7
ASSAULT BY THREAT FAM/DATING,901,78736,7
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78727,7
FRAUD - OTHER,1199,78732,7
VIOL OF CAMPING ORDINANCE,3223,78701,7
TAMPERING WITH GOV RECORD,2904,78759,7
DAMAGE CITY PROP,3817,78681,7
PUBLIC LEWDNESS,1705,78721,7
MONEY LAUNDERING,1301,78751,7
OBTAIN CONTROLLED SUB BY FRAUD,1808,78737,7
MURDER,100,78754,7
FEDERAL VIOL/OTHER,4205,78717,7
FEDERAL VIOL/OTHER,4205,78722,7
AGG SEXUAL ASSAULT CHILD/OBJEC,1712,78731,7
AGG RAPE,202,78748,7
PROSTITUTION,1600,78731,7
AGG FORCED SODOMY OF CHILD,1722,78752,7
AGG SEXUAL ASSAULT W OBJECT,1701,78701,7
INJURY TO CHILD (CARE/CUSTODY),2011,78742,7
ENTICING A CHILD,2002,78748,7
AGG SEXUAL ASSAULT CHILD/OBJEC,1712,78725,7
